device_id,timestamp,power_consumption
A100,2025-04-09 10:30:00,45.6
B200,2025-04-09 10:32:00,78.9
C300,2025-04-09 10:34:00,32.4
A100,2025-04-09 11:00:00,48.2
B200,2025-04-09 11:05:00,82.5
C300,2025-04-09 11:10:00,34.0
D400,2025-04-09 11:12:00,67.1

C300,2025-04-09 22:27:32,77.39
C300,2025-04-09 22:27:37,48.26
A100,2025-04-09 22:27:42,83.98
E500,2025-04-09 22:27:47,81.17
B200,2025-04-09 22:27:52,63.72
D400,2025-04-09 22:27:57,22.61
C300,2025-04-09 22:28:02,32.76
B200,2025-04-09 22:28:07,41.75
D400,2025-04-09 22:28:12,42.26
C300,2025-04-09 22:28:17,65.35
B200,2025-04-09 22:28:22,42.13
D400,2025-04-09 22:28:27,27.8
E500,2025-04-09 22:28:32,91.64
D400,2025-04-09 22:28:37,74.56
C300,2025-04-09 22:28:42,52.31
D400,2025-04-09 22:30:59,60.3
E500,2025-04-09 22:31:04,91.07
B200,2025-04-09 22:31:09,79.08
C300,2025-04-09 22:31:14,31.76
A100,2025-04-09 22:31:19,77.51
D400,2025-04-09 22:31:24,23.88
B200,2025-04-09 22:31:29,82.0
E500,2025-04-09 22:31:34,25.33
B200,2025-04-09 22:31:39,65.31
C300,2025-04-09 22:31:44,39.58
B200,2025-04-09 22:40:18,30.45
C300,2025-04-09 22:40:23,45.22
D400,2025-04-09 22:40:28,84.98
D400,2025-04-09 22:40:33,81.23
A100,2025-04-09 22:40:38,48.95
E500,2025-04-09 22:40:43,72.19
C300,2025-04-09 22:40:48,70.86
E500,2025-04-09 22:40:53,69.07
B200,2025-04-09 22:40:58,54.7
B200,2025-04-09 22:41:03,62.07
A100,2025-04-09 22:41:09,42.15
E500,2025-04-09 22:41:14,74.03
C300,2025-04-09 22:41:19,22.32
B200,2025-04-09 22:41:24,86.48
C300,2025-04-09 22:41:29,67.18
E500,2025-04-09 22:41:34,50.75
E500,2025-04-09 22:41:39,40.58
C300,2025-04-09 22:41:44,80.49
